PROVCN,PROVEN,DISTRICTCN,DISTRICTEN,NAMECN,NAMEEN,AREAID
黑龙江,heilongjiang,牡丹江,mudanjiang,穆棱,muleng,101050303
黑龙江,heilongjiang,牡丹江,mudanjiang,林口,linkou,101050304
黑龙江,heilongjiang,牡丹江,mudanjiang,绥芬河,suifenhe,101050305
黑龙江,heilongjiang,牡丹江,mudanjiang,宁安,ningan,101050306
黑龙江,heilongjiang,牡丹江,mudanjiang,东宁,dongning,101050307
黑龙江,heilongjiang,佳木斯,jiamusi,佳木斯,jiamusi,101050401
黑龙江,heilongjiang,佳木斯,jiamusi,汤原,tangyuan,101050402
黑龙江,heilongjiang,佳木斯,jiamusi,抚远,fuyuan,101050403
黑龙江,heilongjiang,佳木斯,jiamusi,桦川,huachuan,101050404
黑龙江,heilongjiang,佳木斯,jiamusi,桦南,huanan,101050405
黑龙江,heilongjiang,佳木斯,jiamusi,同江,tongjiang,101050406
黑龙江,heilongjiang,佳木斯,jiamusi,富锦,fujin,101050407
黑龙江,heilongjiang,绥化,suihua,绥化,suihua,101050501
黑龙江,heilongjiang,绥化,suihua,肇东,zhaodong,101050502
黑龙江,heilongjiang,绥化,suihua,安达,anda,101050503
黑龙江,heilongjiang,绥化,suihua,海伦,hailun,101050504
黑龙江,heilongjiang,绥化,suihua,明水,mingshui,101050505
黑龙江,heilongjiang,绥化,suihua,望奎,wangkui,101050506
黑龙江,heilongjiang,绥化,suihua,兰西,lanxi,101050507
黑龙江,heilongjiang,绥化,suihua,青冈,qinggang,101050508
黑龙江,heilongjiang,绥化,suihua,庆安,qingan,101050509
黑龙江,heilongjiang,绥化,suihua,绥棱,suileng,101050510
黑龙江,heilongjiang,黑河,heihe,黑河,heihe,101050601
黑龙江,heilongjiang,黑河,heihe,嫩江,nenjiang,101050602
黑龙江,heilongjiang,黑河,heihe,孙吴,sunwu,101050603
黑龙江,heilongjiang,黑河,heihe,逊克,xunke,101050604
黑龙江,heilongjiang,黑河,heihe,五大连池,wudalianchi,101050605
黑龙江,heilongjiang,黑河,heihe,北安,beian,101050606
黑龙江,heilongjiang,大兴安岭,daxinganling,大兴安岭,daxinganling,101050701
黑龙江,heilongjiang,大兴安岭,daxinganling,塔河,tahe,101050702
黑龙江,heilongjiang,大兴安岭,daxinganling,漠河,mohe,101050703
黑龙江,heilongjiang,大兴安岭,daxinganling,呼玛,huma,101050704
黑龙江,heilongjiang,大兴安岭,daxinganling,呼中,huzhong,101050705
黑龙江,heilongjiang,大兴安岭,daxinganling,新林,xinlin,101050706
黑龙江,heilongjiang,大兴安岭,daxinganling,加格达奇,jiagedaqi,101050708
黑龙江,heilongjiang,伊春,yichun,伊春,yichun,101050801
黑龙江,heilongjiang,伊春,yichun,乌伊岭,wuyiling,101050802
黑龙江,heilongjiang,伊春,yichun,五营,wuying,101050803
黑龙江,heilongjiang,伊春,yichun,铁力,tieli,101050804
黑龙江,heilongjiang,伊春,yichun,嘉荫,jiayin,101050805
黑龙江,heilongjiang,大庆,daqing,大庆,daqing,101050901
黑龙江,heilongjiang,大庆,daqing,林甸,lindian,101050902
黑龙江,heilongjiang,大庆,daqing,肇州,zhaozhou,101050903
黑龙江,heilongjiang,大庆,daqing,肇源,zhaoyuan,101050904
黑龙江,heilongjiang,大庆,daqing,杜尔伯特,duerbote,101050905
黑龙江,heilongjiang,七台河,qitaihe,七台河,qitaihe,101051002
黑龙江,heilongjiang,七台河,qitaihe,勃利,boli,101051003
黑龙江,heilongjiang,鸡西,jixi,鸡西,jixi,101051101
黑龙江,heilongjiang,鸡西,jixi,虎林,hulin,101051102
黑龙江,heilongjiang,鸡西,jixi,密山,mishan,101051103
黑龙江,heilongjiang,鸡西,jixi,鸡东,jidong,101051104
黑龙江,heilongjiang,鹤岗,hegang,鹤岗,hegang,101051201
黑龙江,heilongjiang,鹤岗,hegang,绥滨,suibin,101051202
